# h	 d2	 e2	 estim	 d4	 without_a diff
   1.000000e-01	2.242632e+04	5.870571e+02	2.424645e-11	1.899448e+01	5.777389e+02
   5.000000e-02	2.198515e+04	1.458865e+02	4.849290e-11	1.170320e+00	1.453042e+02
   2.500000e-02	2.187568e+04	3.641697e+01	9.698580e-11	7.288425e-02	3.638057e+01
   1.250000e-02	2.184836e+04	9.100829e+00	1.939716e-10	4.551200e-03	9.098554e+00
   6.250000e-03	2.184154e+04	2.274994e+00	3.879432e-10	2.843864e-04	2.274852e+00
   3.125000e-03	2.183983e+04	5.687352e-01	7.758864e-10	1.777280e-05	5.687263e-01
   1.562500e-03	2.183940e+04	1.421830e-01	1.551773e-09	1.111435e-06	1.421824e-01
   7.812500e-04	2.183930e+04	3.554569e-02	3.103546e-09	7.097333e-08	3.554565e-02
   3.906250e-04	2.183927e+04	8.886421e-03	6.207091e-09	5.420588e-10	8.886417e-03
   1.953125e-04	2.183926e+04	2.221611e-03	1.241418e-08	8.771167e-09	2.221604e-03
   9.765625e-05	2.183926e+04	5.553937e-04	2.482836e-08	1.451190e-08	5.554011e-04
   4.882813e-05	2.183926e+04	1.388364e-04	4.965673e-08	1.451190e-08	1.388503e-04
   2.441406e-05	2.183926e+04	3.475176e-05	9.931346e-08	5.068068e-08	3.471257e-05
   1.220703e-05	2.183926e+04	8.786486e-06	1.986269e-07	1.065600e-07	8.678147e-06
   6.103516e-06	2.183926e+04	2.006458e-06	3.972538e-07	2.287161e-07	2.169534e-06
   3.051758e-06	2.183926e+04	1.438129e-07	7.945077e-07	4.522335e-07	5.423826e-07
   1.525879e-06	2.183926e+04	7.398594e-07	1.589015e-06	7.398594e-07	1.355947e-07
   7.629395e-07	2.183926e+04	1.633929e-06	3.178031e-06	1.633929e-06	3.389869e-08
   3.814697e-07	2.183926e+04	1.346303e-06	6.356061e-06	2.538396e-06	8.480129e-09
   1.907349e-07	2.183926e+04	4.922582e-06	1.271212e-05	4.922582e-06	2.120942e-09
   9.536743e-08	2.183926e+04	2.229976e-06	2.542424e-05	2.229976e-06	5.347829e-10
   4.768372e-08	2.183926e+04	2.130346e-05	5.084849e-05	3.084020e-05	1.346052e-10
   2.384186e-08	2.183926e+04	2.638025e-05	1.016970e-04	4.545374e-05	3.274181e-11
   1.192093e-08	2.183926e+04	1.026742e-04	2.033940e-04	1.408212e-04	1.091394e-11
   5.960464e-09	2.183926e+04	1.643546e-04	4.067879e-04	2.406486e-04	3.637979e-12
   2.980232e-09	2.183926e+04	3.932364e-04	8.135758e-04	3.932364e-04	3.637979e-12
   1.490116e-09	2.183926e+04	3.697030e-04	1.627152e-03	6.748788e-04	3.637979e-12
   7.450581e-10	2.183926e+04	9.800546e-04	3.254303e-03	1.590406e-03	3.637979e-12
   3.725290e-10	2.183926e+04	1.461352e-03	6.508607e-03	2.682055e-03	3.637979e-12
   1.862645e-10	2.183927e+04	5.123461e-03	1.301721e-02	7.564867e-03	3.637979e-12
