# h	 d2	 e2	 estim	 d4	 without_a diff
   1.000000e-01	2.242632e+04	5.870571e+02	1.183909e-14	1.899448e+01	5.777389e+02
   5.000000e-02	2.198515e+04	1.458865e+02	2.367817e-14	1.170320e+00	1.453042e+02
   2.500000e-02	2.187568e+04	3.641697e+01	4.735635e-14	7.288425e-02	3.638057e+01
   1.250000e-02	2.184836e+04	9.100829e+00	9.471269e-14	4.551200e-03	9.098554e+00
   6.250000e-03	2.184154e+04	2.274994e+00	1.894254e-13	2.843865e-04	2.274852e+00
   3.125000e-03	2.183983e+04	5.687352e-01	3.788508e-13	1.777317e-05	5.687263e-01
   1.562500e-03	2.183940e+04	1.421830e-01	7.577015e-13	1.110809e-06	1.421824e-01
   7.812500e-04	2.183930e+04	3.554569e-02	1.515403e-12	6.942637e-08	3.554565e-02
   3.906250e-04	2.183927e+04	8.886419e-03	3.030806e-12	4.340651e-09	8.886417e-03
   1.953125e-04	2.183926e+04	2.221604e-03	6.061612e-12	2.752092e-10	2.221604e-03
   9.765625e-05	2.183926e+04	5.554011e-04	1.212322e-11	2.509815e-11	5.554011e-04
   4.882813e-05	2.183926e+04	1.388503e-04	2.424645e-11	6.734169e-12	1.388503e-04
   2.441406e-05	2.183926e+04	3.471259e-05	4.849290e-11	2.037659e-11	3.471257e-05
   1.220703e-05	2.183926e+04	8.678091e-06	9.698580e-11	5.238299e-11	8.678142e-06
   6.103516e-06	2.183926e+04	2.169474e-06	1.939716e-10	1.069527e-10	2.169536e-06
   3.051758e-06	2.183926e+04	5.424612e-07	3.879432e-10	1.113261e-10	5.423839e-07
   1.525879e-06	2.183926e+04	1.358079e-07	7.758864e-10	1.840856e-10	1.355960e-07
   7.629395e-07	2.183926e+04	3.350797e-08	1.551773e-09	2.524718e-10	3.389899e-08
   3.814697e-07	2.183926e+04	7.605562e-09	3.103546e-09	1.125587e-09	8.474748e-09
   1.907349e-07	2.183926e+04	5.277256e-09	6.207091e-09	4.113103e-09	2.118689e-09
   9.536743e-08	2.183926e+04	4.113103e-09	1.241418e-08	4.113103e-09	5.296723e-10
   4.768372e-08	2.183926e+04	9.856736e-09	2.482836e-08	1.451335e-08	1.324167e-10
   2.384186e-08	2.183926e+04	1.451335e-08	4.965673e-08	1.451335e-08	3.310419e-11
   1.192093e-08	2.183926e+04	1.342633e-08	9.931346e-08	1.342633e-08	8.274270e-12
   5.960464e-09	2.183926e+04	1.065586e-07	1.986269e-07	1.438115e-07	2.067679e-12
   2.980232e-09	2.183926e+04	7.970593e-08	3.972538e-07	1.542117e-07	5.186962e-13
   1.490116e-09	2.183926e+04	3.032233e-07	7.945077e-07	4.522350e-07	1.296740e-13
   7.450581e-10	2.183926e+04	4.418347e-07	1.589015e-06	7.398579e-07	3.197442e-14
   3.725290e-10	2.183926e+04	1.037881e-06	3.178031e-06	1.037881e-06	7.105427e-15
   1.862645e-10	2.183926e+04	2.538398e-06	6.356061e-06	3.730490e-06	1.776357e-15
