# h	 d2	 e2	 estim	 d4	 without_a diff
   1.000000e-01	2.242632e+04	5.870605e+02	1.301721e-02	1.899219e+01	5.777383e+02
   5.000000e-02	2.198514e+04	1.458770e+02	2.603443e-02	1.179688e+00	1.453047e+02
   2.500000e-02	2.187565e+04	3.639453e+01	5.206885e-02	9.960938e-02	3.638086e+01
   1.250000e-02	2.184842e+04	9.158203e+00	1.041377e-01	5.664062e-02	9.099609e+00
   6.250000e-03	2.184160e+04	2.341797e+00	2.082754e-01	7.617188e-02	2.275391e+00
   3.125000e-03	2.183977e+04	5.058594e-01	4.165508e-01	1.191406e-01	5.703125e-01
   1.562500e-03	2.183922e+04	4.101562e-02	8.331016e-01	3.535156e-01	1.406250e-01
   7.812500e-04	2.184000e+04	7.402344e-01	1.666203e+00	1.052734e+00	3.710938e-02
   3.906250e-04	2.184125e+04	1.990234e+00	3.332407e+00	2.615234e+00	7.812500e-03
   1.953125e-04	2.183750e+04	1.759766e+00	6.664813e+00	3.009766e+00	1.953125e-03
   9.765625e-05	2.183500e+04	4.259766e+00	1.332963e+01	6.759766e+00	0.000000e+00
   4.882813e-05	2.185000e+04	1.074023e+01	2.665925e+01	1.574023e+01	0.000000e+00
   2.441406e-05	2.187000e+04	3.074023e+01	5.331850e+01	4.074023e+01	0.000000e+00
   1.220703e-05	2.180000e+04	3.925977e+01	1.066370e+02	5.925977e+01	0.000000e+00
   6.103516e-06	2.176000e+04	7.925977e+01	2.132740e+02	7.925977e+01	0.000000e+00
   3.051758e-06	2.200000e+04	1.607402e+02	4.265480e+02	2.407402e+02	0.000000e+00
   1.525879e-06	2.208000e+04	2.407402e+02	8.530961e+02	2.407402e+02	0.000000e+00
   7.629395e-07	2.144000e+04	3.992598e+02	1.706192e+03	3.992598e+02	0.000000e+00
   3.814697e-07	2.048000e+04	1.359260e+03	3.412384e+03	1.999260e+03	0.000000e+00
   1.907349e-07	2.432000e+04	2.480740e+03	6.824769e+03	3.760740e+03	0.000000e+00
   9.536743e-08	2.560000e+04	3.760740e+03	1.364954e+04	6.320740e+03	0.000000e+00
   4.768372e-08	1.536000e+04	6.479260e+03	2.729907e+04	1.159926e+04	0.000000e+00
   2.384186e-08	0.000000e+00	2.183926e+04	5.459815e+04	3.207926e+04	0.000000e+00
   1.192093e-08	0.000000e+00	2.183926e+04	1.091963e+05	2.183926e+04	0.000000e+00
   5.960465e-09	0.000000e+00	2.183926e+04	2.183926e+05	2.183926e+04	0.000000e+00
   2.980232e-09	0.000000e+00	2.183926e+04	4.367852e+05	2.183926e+04	0.000000e+00
   1.490116e-09	0.000000e+00	2.183926e+04	8.735704e+05	2.183926e+04	0.000000e+00
   7.450581e-10	0.000000e+00	2.183926e+04	1.747141e+06	2.183926e+04	0.000000e+00
   3.725290e-10	0.000000e+00	2.183926e+04	3.494282e+06	2.183926e+04	0.000000e+00
   1.862645e-10	0.000000e+00	2.183926e+04	6.988563e+06	2.183926e+04	0.000000e+00
